X,Y,observ,longitud,latitud,objectid,num_est,nom_est,id_trazado,long_est,ancho_est,area_est,esta_oper,eta_oper,tipo_esta,ub_est,num_acc,acc_esp,acc_depr,acc_puent,cod_nodo,cap_biart,num_vag,cap_art,globalid,created_user,created_date,last_edited_user,last_edited_date
998947.7903,1015784.0275,Valores de capacidad de buses en proceso de actualización,-74.08699228,4.73893679,665,03002,Suba - TV. 91,TZ003,273.89,4,1095.56,1,1,4,AV Suba KR 90,2,1,0,1,3002,96,4,168,{651F9F95-C4BF-49C0-BF89-CA072BC3139A},,,,
998560.9895,1001859.723,Valores de capacidad de buses en proceso de actualización,-74.0904765,4.61301798,666,12003,Ricaurte - CL 13,TZ009,184.2,4,736.8,1,1,3,CL 13 - KR 28,2,1,1,0,12003,120,6,192,{0B062412-92ED-4299-98B7-EDE405CB3C73},,,,
997345.5945,998413.051100001,Valores de capacidad de buses en proceso de actualización,-74.10142878,4.58184906,667,09104,Restrepo,TZ012,120.17,4,480.68,1,1,4,CL 19 Sur - AV 1 De M,2,2,0,0,9104,72,2,128,{2C5764C2-59F3-4CAE-9110-4464F98F600F},,,,
1002768.045,1013088.2665,Valores de capacidad de buses en proceso de actualización,-74.05255829,4.71455843,668,02201,Prado,TZ002,148,4,592,1,1,4,CL 128 B,1,0,0,1,2201,72,3,176,{F89C2540-3D20-4D68-86AA-DE140D847170},,,,
1003764.6779,1019088.519,Valores de capacidad de buses en proceso de actualización,-74.04357255,4.76881876,669,02502,Terminal,TZ002,48.79,3,146.37,1,1,4,CL 190,1,0,0,1,2502,72,1,80,{099A93A7-5395-4842-A80D-CAB1FA280A3A},,,,
1002051.3147,1008824.0963,Valores de capacidad de buses en proceso de actualización,-74.05901952,4.67599737,670,02302,Virrey,TZ002,193.28,4,773.12,1,1,4,CL 90,1,0,0,1,2302,144,3,208,{2EB6922F-5943-4D19-8120-75AD472DD770},,,,
1003356.2853,1016585.6123,Valores de capacidad de buses en proceso de actualización,-74.04725485,4.74618498,671,02101,Toberin - Foundever,TZ002,335,3.6,1206,1,1,4,CL 165,1,0,0,1,2101,216,5,336,{ECDFF31F-9E6D-43CD-BE7C-F9FC5843B32E},,,,
1002462.9467,1011271.228,Valores de capacidad de buses en proceso de actualización,-74.0553088,4.69812689,672,02204,Pepe Sierra,TZ002,104.62,4,418.48,1,1,4,CL 116,1,0,0,1,2204,72,2,128,{2A155227-8833-46B6-9918-23532227A3BB},,,,
1002196.3279,1009703.4531,Valores de capacidad de buses en proceso de actualización,-74.0577123,4.68394944,673,02300,Calle 100 - Marketmedios,TZ002,203.61,4,814.44,1,1,4,CL 97,2,0,0,2,2300,168,3,224,{8A0C2EA4-6EEB-4D2B-8616-F5A597098C16},,,,
1002995.9806,1014447.5094,Valores de capacidad de buses en proceso de actualización,-74.05050333,4.72685009,674,02105,Calle 142,TZ002,221.09,3,663.27,1,1,4,CL 142,1,0,0,1,2105,48,4,132,{B5B0F3FB-5582-4F60-82CA-3841B6E22C3B},,,,
1003490.5027,1017518.6953,Valores de capacidad de buses en proceso de actualización,-74.04604465,4.75462286,675,02000,Portal Norte – Unicervantes,TZ002,365.66,0,0,1,1,1,CL 173,1,0,0,1,2000,78,1,132,{29253416-B095-4BB5-8886-4749F4DD1517},,,,
1003668.0639,1018482.2801,Valores de capacidad de buses en proceso de actualización,-74.0444437,4.76333655,676,02001,Calle 187,TZ002,40.9,3,122.7,1,1,4,CL 184,1,0,0,1,2001,72,1,80,{323AFFF7-FD27-4654-ABF0-9F741FED51E0},,,,
1002889.961,1013818.0856,Valores de capacidad de buses en proceso de actualización,-74.05145916,4.7211582,677,02200,Alcalá – Colegio S. Tomás Dominicos,TZ002,205.19,4,820.76,1,1,4,CL 137,2,0,0,2,2200,168,3,224,{178C288B-32B3-45A7-BB95-2C0F3895A233},,,,
1003072.7471,1014894.3708,Valores de capacidad de buses en proceso de actualización,-74.04981123,4.73089106,678,02104,Calle 146,TZ002,86.3,4,345.2,1,1,4,CL 146,1,0,0,1,2104,72,3,176,{2D124533-077D-4F9F-9BE5-80B4F7E6BE1D},,,,
1002583.1499,1011991.4228,Valores de capacidad de buses en proceso de actualización,-74.05422516,4.70463964,679,02202,Calle 127,TZ002,104.57,4,418.28,1,1,4,CL 127,1,0,0,1,2202,72,2,128,{D604EA92-2242-49D8-BB39-4164AE62DDB3},,,,
1001908.1604,1007954.7726,Valores de capacidad de buses en proceso de actualización,-74.06030995,4.66813603,680,02304,Héroes,TZ002,167.4,4,669.6,1,1,4,CL 80,1,0,0,1,2304,96,3,168,{FC726C2C-58F2-4134-9A17-9DECA4818013},,,,
1003273.5992,1016113.4595,Valores de capacidad de buses en proceso de actualización,-74.04800035,4.7419153,681,02102,Calle 161,TZ002,172.62,3,517.86,1,1,4,CL 160,1,0,0,1,2102,0,4,96,{0DB48CE9-8964-4E5A-A411-48C7FEB37D4D},,,,
1002366.0362,1010702.3606,Valores de capacidad de buses en proceso de actualización,-74.05618243,4.6929826,682,02205,Calle 106 - Maletas Explora,TZ002,209.14,3,627.42,1,1,4,CL 106,1,0,0,1,2205,120,4,128,{621A3D60-D0B5-4C4F-92CF-6A29D588E20E},,,,
1003137.6311,1015303.2487,Valores de capacidad de buses en proceso de actualización,-74.04922624,4.73458855,683,02103,Mazurén,TZ002,172.63,3.2,552.416,1,1,4,CL 152,1,0,0,1,2103,72,5,176,{2D651DFB-B495-4CD6-A3E6-EF9DC5BCB8B9},,,,
1001068.4401,1003898.2245,Valores de capacidad de buses en proceso de actualización,-74.06787872,4.63145241,684,09117,Calle 45 - American School Way,TZ001,182.54,3.5,638.89,1,1,4,CL 45 - CL 42A,2,2,0,0,9117,120,3,200,{50BA7DE8-85DE-45EA-AE6A-4B23E8C97672},,,,
1000009.5967,1009466.2594,Valores de capacidad de buses en proceso de actualización,-74.07742142,4.68180475,685,04105,Carrera 53,TZ005,45.75,4,183,1,1,4,KR 53,1,0,0,1,4105,72,1,80,{67A41BDC-02F5-4470-B0C0-121EEF265E86},,,,
1001449.5534,1008781.3744,Valores de capacidad de buses en proceso de actualización,-74.06444317,4.67561116,686,07101,La Castellana,TZ008,164.3,4,657.2,1,1,4,KR 30 KR 24,1,0,0,1,7101,72,4,160,{A76F219A-084F-4BFA-8774-CB803B50446B},,,,
998202.1716,997870.1011,Valores de capacidad de buses en proceso de actualización,-74.0937094,4.57693931,687,10002,AV. 1 Mayo,TZ018,217.32,4,869.28,1,1,2,AV 1 De Mayo Con KR 7,2,2,0,0,10002,168,3,216,{A18AF6FB-191E-456F-990A-CE3B35A77AC1},,,,
999513.2793,1001019.6378,Valores de capacidad de buses en proceso de actualización,-74.08189427,4.6054211,688,14001,De La Sabana,TZ009,96.47,4,385.88,1,1,4,CL 13 - KR 16,2,2,0,0,14001,48,2,120,{CFB2B265-A8FD-4B97-8475-309293FB3A6E},,,,
987726.885,999823.289100001,Valores de capacidad de buses en proceso de actualización,-74.18811218,4.59459382,689,07506,La Despensa,TZ011,89.5,4,358,1,1,4,Soacha,1,0,0,1,7506,72,2,152,{F49C22FF-8BAE-41A0-ACCC-344A407E87B4},,,,
1001713.1396,1006860.1777,Valores de capacidad de buses en proceso de actualización,-74.06206786,4.65823755,690,09122,Calle 72,TZ001,183.63,4,734.52,1,3,4,CL 72 - CL 70A,2,2,0,0,9122,0,3,0,{DCD7B4A0-11E7-4914-BD67-A478301D429F},,,,
1000131.7456,1002683.2122,Valores de capacidad de buses en proceso de actualización,-74.07632059,4.62046499,691,06109,Centro Memoria,TZ016,130.01,4,520.04,1,1,4,KR 20,2,2,0,0,6109,120,2,140,{B99A56BA-E706-4A5B-BDAD-26F4115F877A},,,,
997344.7369,1002939.4235,Valores de capacidad de buses en proceso de actualización,-74.10143788,4.62278154,692,12001,Carrera 43 - Comapan,TZ009,96.45,4,385.8,1,1,4,AV Americas - KR 43,2,2,0,0,12001,48,2,120,{24588D37-3990-42EB-8EA3-39E36B55C87D},,,,
994854.7443,996022.210200001,Valores de capacidad de buses en proceso de actualización,-74.12387433,4.5602273,693,09002,Consuelo,TZ012,81.57,4,326.28,1,1,4,KR 11A - KR 10C,1,1,0,0,9002,72,2,120,{4338B4D6-314C-41C0-AA14-317498DE8561},,,,
999677.9816,1000737.1877,Valores de capacidad de buses en proceso de actualización,-74.08040995,4.60286688,694,09110,AV. Jiménez - Caracas,TZ001,180.33,3.5,631.155,1,1,3,CL 13 - CL 11,2,1,1,0,9110,96,3,192,{EE40D368-4BB3-48BE-922A-491ABBD877AF},,,,
997519.6011,1000890.1705,Valores de capacidad de buses en proceso de actualización,-74.09986137,4.60424998,695,07112,Comuneros,TZ010,130.16,4,520.64,1,1,4,KR 30 - CL 6A,2,1,0,1,7112,108,2,144,{CC73317E-35CC-4D80-9D23-DB9348465D42},,,,
996877.882,1006730.7856,Valores de capacidad de buses en proceso de actualización,-74.10564666,4.65706705,696,06101,El Tiempo – Cámara de Comercio de Bogotá,TZ016,96.48,3,289.44,1,1,4,KR 68D,1,0,0,1,6101,120,2,120,{35F21613-6A72-4978-9D76-36AFD0AD6493},,,,
990918.7351,1004612.5863,Valores de capacidad de buses en proceso de actualización,-74.15935249,4.63790778,697,05002,Biblioteca Tintal,TZ009,199.2,4.5,896.4,1,1,4,AV Cali - CL 26 Sur,2,2,0,0,5002,144,2,160,{6366CF6A-8B17-4E3C-B57B-48538DFC4AD7},,,,
998574.786,998379.124600001,Valores de capacidad de buses en proceso de actualización,-74.0903516,4.58154254,698,10003,Ciudad Jardín - UAN,TZ018,108.28,4,433.12,1,1,4,KR 10 - CL 12 Sur,1,1,0,0,10003,120,2,144,{75C75616-85E3-4924-B355-4385F7B29816},,,,
